Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Pacific Lutheran University,2.09,Masters,Oklahoma City,N/A,N/A,1,0,4,Human Resources Specialist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A
2,Temple University School of Podiatric Medicine,3.24,Phd,Houston,M,0,1,N/A,2,Data Analyst,12/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A
3,Marywood University,3.12,Bachelors,Honolulu,F,1,1,1,0,Firefighter,12/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A
4,Simon's Rock College,2.69,Phd,Columbus,N/A,0,0,1,4,Financial Analyst,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A
5,Pacific University,2.63,Bachelors,Charlotte,F,N/A,0,N/A,1,Public Relations Officer,10/21,01/23,N/A,N/A,N/A,N/A,N/A,N/A
6,Oklahoma Christian University,3.54,Masters,Irvine,M,0,1,N/A,4,Public Relations Officer,03/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A
7,University of South Carolina,2.17,Bachelors,Plano,M,N/A,0,1,4,Firefighter,04/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A
8,Northern Michigan University,2.47,Masters,Norfolk,F,N/A,0,1,2,Dietitian,12/16,07/18,N/A,N/A,N/A,N/A,N/A,N/A
9,University of Maryland at Baltimore,3.46,Masters,Chandler,M,0,1,0,0,Product Designer,07/15,04/17,N/A,N/A,N/A,N/A,N/A,N/A
10,Barat College,3.1,Bachelors,Cincinnati,F,N/A,0,1,2,Product Manager,11/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A
11,Emmanuel College Georgia,2.26,Bachelors,Aurora,F,N/A,0,0,0,Researcher,09/20,06/22,N/A,N/A,N/A,N/A,N/A,N/A
12,Rush University,3.76,Masters,St. Louis,F,1,1,0,0,Pilot,01/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A
13,College of New Rochelle,2.79,Phd,Baton Rouge,M,0,1,1,3,Investment Banker,02/21,08/21,N/A,N/A,N/A,N/A,N/A,N/A
14,The Art Institute of Boston,3.66,Bachelors,Richmond,N/A,0,1,0,2,Multimedia Artist,04/18,12/18,N/A,N/A,N/A,N/A,N/A,N/A
15,Atlantic International University,3.58,Masters,Baton Rouge,F,N/A,1,0,1,Product Designer,06/17,06/18,N/A,N/A,N/A,N/A,N/A,N/A
16,St. Bernard's Institute,3.25,Masters,Chicago,N/A,N/A,0,N/A,4,Pharmacist,07/21,08/22,N/A,N/A,N/A,N/A,N/A,N/A
17,Pacifica Graduate Institute,2.99,Phd,Columbus,M,0,1,1,3,Data Analyst,03/17,06/17,N/A,N/A,N/A,N/A,N/A,N/A
18,McMurry University,3.96,Bachelors,Miami,M,0,0,N/A,1,Public Relations Officer,02/17,02/19,N/A,N/A,N/A,N/A,N/A,N/A
