applicant_id,prediction
"1","0"
"2","1"
"3","0"
"4","0"
"5","0"
"6","1"
"7","1"
"8","0"
"9","1"
"10","0"
"11","0"
"12","0"
"13","1"
"14","0"
"15","0"
"16","0"
"17","0"
"18","1"
"19","0"
"20","0"
"21","1"
"22","1"
"23","1"
"24","0"
"25","0"
"26","0"
"27","1"
"28","0"
"29","1"
"30","0"
"31","0"
"32","1"
"33","1"
"34","0"
"35","0"
"36","1"
"37","1"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","1"
"45","1"
"46","1"
"47","0"
"48","0"
"49","1"
"50","0"
"51","0"
"52","1"
"53","0"
"54","0"
"55","1"
"56","0"
"57","1"
"58","0"
"59","0"
"60","0"
"61","0"
"62","0"
"63","1"
"64","0"
"65","0"
"66","0"
"67","1"
"68","0"
"69","0"
"70","0"
"71","1"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","1"
"79","0"
"80","0"
"81","1"
"82","0"
"83","1"
"84","1"
"85","0"
"86","1"
"87","0"
"88","0"
"89","0"
"90","1"
"91","1"
"92","1"
"93","0"
"94","0"
"95","0"
"96","1"
"97","0"
"98","0"
"99","1"
"100","0"
"101","1"
"102","1"
"103","0"
"104","0"
"105","1"
"106","0"
"107","0"
"108","0"
"109","1"
"110","0"
"111","0"
"112","0"
"113","0"
"114","0"
"115","1"
"116","0"
"117","1"
"118","0"
"119","0"
"120","0"
"121","0"
"122","0"
"123","0"
"124","0"
"125","0"
"126","0"
"127","0"
"128","0"
"129","0"
"130","0"
"131","0"
"132","0"
"133","0"
"134","0"
"135","0"
"136","1"
"137","0"
"138","0"
"139","1"
"140","1"
"141","1"
"142","1"
"143","0"
"144","0"
"145","0"
"146","0"
"147","0"
"148","0"
"149","1"
"150","1"
"151","0"
"152","0"
"153","0"
"154","0"
"155","0"
"156","0"
"157","1"
"158","0"
"159","1"
"160","1"
"161","1"
"162","0"
"163","1"
"164","0"
"165","1"
"166","1"
"167","1"
"168","0"
"169","0"
"170","0"
"171","0"
"172","1"
"173","0"
"174","0"
"175","0"
"176","0"
"177","1"
"178","0"
"179","0"
"180","0"
"181","1"
"182","0"
"183","1"
"184","0"
"185","0"
"186","1"
"187","0"
"188","0"
"189","1"
"190","0"
"191","1"
"192","0"
"193","0"
"194","0"
"195","0"
"196","0"
"197","1"
"198","1"
"199","1"
"200","0"
"201","0"
"202","0"
"203","0"
"204","0"
"205","0"
"206","1"
"207","1"
"208","0"
"209","1"
"210","0"
"211","0"
"212","1"
"213","0"
"214","0"
"215","1"
"216","0"
"217","1"
"218","1"
"219","0"
"220","0"
"221","0"
"222","1"
"223","0"
"224","0"
"225","0"
"226","0"
"227","1"
"228","0"
"229","0"
"230","0"
"231","0"
"232","0"
"233","0"
"234","0"
"235","0"
"236","1"
"237","0"
"238","1"
"239","1"
"240","0"
"241","0"
"242","1"
"243","0"
"244","0"
"245","0"
"246","0"
"247","0"
"248","0"
"249","0"
"250","0"
"251","0"
"252","0"
"253","1"
"254","0"
"255","1"
"256","0"
"257","0"
"258","0"
"259","1"
"260","0"
"261","0"
"262","0"
"263","0"
"264","1"
"265","1"
"266","0"
"267","0"
"268","0"
"269","0"
"270","0"
"271","0"
"272","0"
"273","0"
"274","0"
"275","1"
"276","1"
"277","0"
"278","1"
"279","0"
