Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Providence College,2.09,Masters,Providence,N/A,N/A,1,0,4,Data Scientist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A,7.66
2,Providence College,3.24,Phd,Providence,M,0,1,N/A,2,Data Scientist,12/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A,6.76
3,Providence College,3.12,Bachelors,Providence,F,1,1,1,0,Data Scientist,12/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A,8.55
4,Providence College,2.69,Phd,Providence,N/A,0,0,1,4,Data Scientist,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,4.71
5,Providence College,2.63,Bachelors,Providence,F,N/A,0,N/A,1,Data Scientist,10/21,01/23,N/A,N/A,N/A,N/A,N/A,N/A,2.83
6,Providence College,3.54,Masters,Providence,M,0,1,N/A,4,Data Scientist,03/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A,5.63
7,Providence College,2.17,Bachelors,Providence,M,N/A,0,1,4,Data Scientist,04/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,8.06
8,Providence College,2.47,Masters,Providence,F,N/A,0,1,2,Data Scientist,12/16,07/18,N/A,N/A,N/A,N/A,N/A,N/A,5.8
9,Providence College,3.46,Masters,Providence,M,0,1,0,0,Data Scientist,07/15,04/17,N/A,N/A,N/A,N/A,N/A,N/A,6.2
10,Providence College,3.1,Bachelors,Providence,F,N/A,0,1,2,Data Scientist,11/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,0.18
11,Providence College,2.26,Bachelors,Providence,F,N/A,0,0,0,Data Scientist,09/20,06/22,N/A,N/A,N/A,N/A,N/A,N/A,2.25
12,Providence College,3.76,Masters,Providence,F,1,1,0,0,Data Scientist,01/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A,8.37
13,Providence College,2.79,Phd,Providence,M,0,1,1,3,Data Scientist,02/21,08/21,N/A,N/A,N/A,N/A,N/A,N/A,7.07
14,Providence College,3.66,Bachelors,Providence,N/A,0,1,0,2,Data Scientist,04/18,12/18,N/A,N/A,N/A,N/A,N/A,N/A,9.17
15,Providence College,3.58,Masters,Providence,F,N/A,1,0,1,Data Scientist,06/17,06/18,N/A,N/A,N/A,N/A,N/A,N/A,2.06
