Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Providence College,2.09,Masters,Providence,N/A,N/A,1,0,4,Data Scientist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A
2,Providence College,3.24,Phd,Providence,M,0,1,N/A,2,Data Scientist,12/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A
3,Providence College,3.12,Bachelors,Providence,F,1,1,1,0,Data Scientist,12/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A
4,Providence College,2.69,Phd,Providence,N/A,0,0,1,4,Data Scientist,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A
5,Providence College,2.63,Bachelors,Providence,F,N/A,0,N/A,1,Data Scientist,10/21,01/23,N/A,N/A,N/A,N/A,N/A,N/A
6,Providence College,3.54,Masters,Providence,M,0,1,N/A,4,Data Scientist,03/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A
7,Providence College,2.17,Bachelors,Providence,M,N/A,0,1,4,Data Scientist,04/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A
8,Providence College,2.47,Masters,Providence,F,N/A,0,1,2,Data Scientist,12/16,07/18,N/A,N/A,N/A,N/A,N/A,N/A
9,Providence College,3.46,Masters,Providence,M,0,1,0,0,Data Scientist,07/15,04/17,N/A,N/A,N/A,N/A,N/A,N/A
10,Providence College,3.1,Bachelors,Providence,F,N/A,0,1,2,Data Scientist,11/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A
11,Providence College,2.26,Bachelors,Providence,F,N/A,0,0,0,Data Scientist,09/20,06/22,N/A,N/A,N/A,N/A,N/A,N/A
12,Providence College,3.76,Masters,Providence,F,1,1,0,0,Data Scientist,01/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A
13,Providence College,2.79,Phd,Providence,M,0,1,1,3,Data Scientist,02/21,08/21,N/A,N/A,N/A,N/A,N/A,N/A
14,Providence College,3.66,Bachelors,Providence,N/A,0,1,0,2,Data Scientist,04/18,12/18,N/A,N/A,N/A,N/A,N/A,N/A
15,Providence College,3.58,Masters,Providence,F,N/A,1,0,1,Data Scientist,06/17,06/18,N/A,N/A,N/A,N/A,N/A,N/A
16,Providence College,3.25,Masters,Providence,N/A,N/A,0,N/A,4,Data Scientist,07/21,08/22,N/A,N/A,N/A,N/A,N/A,N/A
17,Providence College,2.99,Phd,Providence,M,0,1,1,3,Data Scientist,03/17,06/17,N/A,N/A,N/A,N/A,N/A,N/A
18,Providence College,3.96,Bachelors,Providence,M,0,0,N/A,1,Data Scientist,02/17,02/19,N/A,N/A,N/A,N/A,N/A,N/A
19,Providence College,2.29,Masters,Providence,N/A,0,0,0,2,Data Scientist,05/20,08/21,N/A,N/A,N/A,N/A,N/A,N/A
20,Providence College,3.45,Phd,Providence,F,N/A,1,0,0,Data Scientist,12/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A
21,Providence College,2.38,Masters,Providence,M,1,0,N/A,2,Data Scientist,03/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A
22,Providence College,2.68,Bachelors,Providence,F,1,0,N/A,2,Data Scientist,10/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A
23,Providence College,2.62,Phd,Providence,F,N/A,0,N/A,3,Data Scientist,05/16,08/17,N/A,N/A,N/A,N/A,N/A,N/A
24,Providence College,3.89,Masters,Providence,N/A,N/A,1,0,1,Data Scientist,08/21,06/22,N/A,N/A,N/A,N/A,N/A,N/A
25,Providence College,3.93,Phd,Providence,M,N/A,0,1,3,Data Scientist,06/15,09/15,N/A,N/A,N/A,N/A,N/A,N/A
26,Providence College,2.37,Bachelors,Providence,N/A,0,1,0,1,Data Scientist,12/18,09/20,N/A,N/A,N/A,N/A,N/A,N/A
27,Providence College,2.04,Phd,Providence,M,N/A,1,N/A,3,Data Scientist,02/21,11/22,N/A,N/A,N/A,N/A,N/A,N/A
28,Providence College,3.44,Bachelors,Providence,N/A,0,0,1,4,Data Scientist,03/16,06/16,N/A,N/A,N/A,N/A,N/A,N/A
29,Providence College,2.84,Masters,Providence,M,1,0,N/A,0,Data Scientist,02/18,11/18,N/A,N/A,N/A,N/A,N/A,N/A
30,Providence College,2.18,Bachelors,Providence,M,N/A,1,0,0,Data Scientist,05/21,03/23,N/A,N/A,N/A,N/A,N/A,N/A
31,Providence College,3.37,Masters,Providence,M,N/A,1,1,0,Data Scientist,12/15,05/17,N/A,N/A,N/A,N/A,N/A,N/A
32,Providence College,3.09,Masters,Providence,F,0,1,1,4,Data Scientist,06/17,06/19,N/A,N/A,N/A,N/A,N/A,N/A
33,Providence College,3.96,Bachelors,Providence,F,0,1,0,4,Data Scientist,06/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A
34,Providence College,2.45,Masters,Providence,N/A,0,1,N/A,0,Data Scientist,02/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A
35,Providence College,2.81,Phd,Providence,N/A,1,0,N/A,0,Data Scientist,01/14,12/15,N/A,N/A,N/A,N/A,N/A,N/A
36,Providence College,3.09,Masters,Providence,M,1,1,N/A,1,Data Scientist,12/16,12/18,N/A,N/A,N/A,N/A,N/A,N/A
37,Providence College,3.58,Bachelors,Providence,M,N/A,0,0,1,Data Scientist,05/14,08/15,N/A,N/A,N/A,N/A,N/A,N/A
38,Providence College,3.1,Phd,Providence,F,N/A,1,N/A,2,Data Scientist,01/20,10/21,N/A,N/A,N/A,N/A,N/A,N/A
39,Providence College,3.23,Phd,Providence,F,0,0,1,3,Data Scientist,11/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A
40,Providence College,2.45,Masters,Providence,F,1,1,N/A,1,Data Scientist,10/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A
41,Providence College,3.69,Masters,Providence,N/A,N/A,0,N/A,1,Data Scientist,05/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A
42,Providence College,2.86,Bachelors,Providence,F,0,0,1,1,Data Scientist,11/20,06/21,N/A,N/A,N/A,N/A,N/A,N/A
43,Providence College,2.28,Phd,Providence,N/A,0,1,1,1,Data Scientist,06/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A
