Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Pacific Lutheran University,2.09,Masters,Oklahoma City,N/A,N/A,1,0,4,Human Resources Specialist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A,0.72
2,Temple University School of Podiatric Medicine,3.24,Phd,Houston,M,0,1,N/A,2,Data Analyst,12/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A,1.19
3,Marywood University,3.12,Bachelors,Honolulu,F,1,1,1,0,Firefighter,12/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A,5.66
4,Simon's Rock College,2.69,Phd,Columbus,N/A,0,0,1,4,Financial Analyst,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,3.6
5,Pacific University,2.63,Bachelors,Charlotte,F,N/A,0,N/A,1,Public Relations Officer,10/21,01/23,N/A,N/A,N/A,N/A,N/A,N/A,2.44
6,Oklahoma Christian University,3.54,Masters,Irvine,M,0,1,N/A,4,Public Relations Officer,03/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A,6.96
7,University of South Carolina,2.17,Bachelors,Plano,M,N/A,0,1,4,Firefighter,04/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,7.53
8,Northern Michigan University,2.47,Masters,Norfolk,F,N/A,0,1,2,Dietitian,12/16,07/18,N/A,N/A,N/A,N/A,N/A,N/A,7.27
9,University of Maryland at Baltimore,3.46,Masters,Chandler,M,0,1,0,0,Product Designer,07/15,04/17,N/A,N/A,N/A,N/A,N/A,N/A,4.31
10,Barat College,3.1,Bachelors,Cincinnati,F,N/A,0,1,2,Product Manager,11/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,6.95
11,Emmanuel College Georgia,2.26,Bachelors,Aurora,F,N/A,0,0,0,Researcher,09/20,06/22,N/A,N/A,N/A,N/A,N/A,N/A,0.3
12,Rush University,3.76,Masters,St. Louis,F,1,1,0,0,Pilot,01/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A,4.25
13,College of New Rochelle,2.79,Phd,Baton Rouge,M,0,1,1,3,Investment Banker,02/21,08/21,N/A,N/A,N/A,N/A,N/A,N/A,5.5
14,The Art Institute of Boston,3.66,Bachelors,Richmond,N/A,0,1,0,2,Multimedia Artist,04/18,12/18,N/A,N/A,N/A,N/A,N/A,N/A,7.9
15,Atlantic International University,3.58,Masters,Baton Rouge,F,N/A,1,0,1,Product Designer,06/17,06/18,N/A,N/A,N/A,N/A,N/A,N/A,1.27
16,St. Bernard's Institute,3.25,Masters,Chicago,N/A,N/A,0,N/A,4,Pharmacist,07/21,08/22,N/A,N/A,N/A,N/A,N/A,N/A,7.02
17,Pacifica Graduate Institute,2.99,Phd,Columbus,M,0,1,1,3,Data Analyst,03/17,06/17,N/A,N/A,N/A,N/A,N/A,N/A,5.5
18,McMurry University,3.96,Bachelors,Miami,M,0,0,N/A,1,Public Relations Officer,02/17,02/19,N/A,N/A,N/A,N/A,N/A,N/A,3.27
19,University of North Carolina at Charlotte,2.29,Masters,Denver,N/A,0,0,0,2,Product Manager,05/20,08/21,N/A,N/A,N/A,N/A,N/A,N/A,4.68
20,Bastyr University,3.45,Phd,Sacramento,F,N/A,1,0,0,Dietitian,12/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A,0.89
21,University of North Carolina at Asheville,2.38,Masters,Phoenix,M,1,0,N/A,2,Pilot,03/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A,0.79
22,Southern Utah University,2.68,Bachelors,Raleigh,F,1,0,N/A,2,Pharmacist,10/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A,3.22
23,Lees-McRae College,2.62,Phd,Milwaukee,F,N/A,0,N/A,3,Sales Representative,05/16,08/17,N/A,N/A,N/A,N/A,N/A,N/A,9.1
24,College of the Ozarks,3.89,Masters,Milwaukee,N/A,N/A,1,0,1,Public Relations Officer,08/21,06/22,N/A,N/A,N/A,N/A,N/A,N/A,4.45
25,Thomas Aquinas College,3.93,Phd,San Jose,M,N/A,0,1,3,Investment Banker,06/15,09/15,N/A,N/A,N/A,N/A,N/A,N/A,5.31
26,St. Olaf College,2.37,Bachelors,Indianapolis,N/A,0,1,0,1,Social Media Coordinator,12/18,09/20,N/A,N/A,N/A,N/A,N/A,N/A,8.57
27,Louisiana State University at Eunice,2.04,Phd,Minneapolis,M,N/A,1,N/A,3,Pharmacist,02/21,11/22,N/A,N/A,N/A,N/A,N/A,N/A,2.32
28,Dakota Wesleyan University,3.44,Bachelors,Fresno,N/A,0,0,1,4,Multimedia Artist,03/16,06/16,N/A,N/A,N/A,N/A,N/A,N/A,3.96
29,Rider University,2.84,Masters,Saint Paul,M,1,0,N/A,0,Software Engineer,02/18,11/18,N/A,N/A,N/A,N/A,N/A,N/A,9.4
30,Morningside College,2.18,Bachelors,Detroit,M,N/A,1,0,0,Product Designer,05/21,03/23,N/A,N/A,N/A,N/A,N/A,N/A,4.38
31,Chaminade University of Honolulu,3.37,Masters,Las Vegas,M,N/A,1,1,0,Product Manager,12/15,05/17,N/A,N/A,N/A,N/A,N/A,N/A,3.27
32,Princeton University,3.09,Masters,Detroit,F,0,1,1,4,Pilot,06/17,06/19,N/A,N/A,N/A,N/A,N/A,N/A,8.59
33,Elmhurst College,3.96,Bachelors,Scottsdale,F,0,1,0,4,Human Resources Specialist,06/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,8.85
34,Southwest Baptist University,2.45,Masters,Albuquerque,N/A,0,1,N/A,0,Data Analyst,02/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A,5.89
35,Alfred Adler Graduate School,2.81,Phd,Fort Worth,N/A,1,0,N/A,0,Software Engineer,01/14,12/15,N/A,N/A,N/A,N/A,N/A,N/A,1.8
36,Carroll College Helena,3.09,Masters,Cincinnati,M,1,1,N/A,1,Multimedia Artist,12/16,12/18,N/A,N/A,N/A,N/A,N/A,N/A,5.01
37,Lagrange College,3.58,Bachelors,Hialeah,M,N/A,0,0,1,Pilot,05/14,08/15,N/A,N/A,N/A,N/A,N/A,N/A,7.95
38,Marymount University,3.1,Phd,Anaheim,F,N/A,1,N/A,2,Researcher,01/20,10/21,N/A,N/A,N/A,N/A,N/A,N/A,3.73
39,University of Central Arkansas,3.23,Phd,Newark,F,0,0,1,3,Firefighter,11/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,2.01
40,Evangel University,2.45,Masters,Miami,F,1,1,N/A,1,Social Media Coordinator,10/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A,3.71
41,Ohio State University - Lima,3.69,Masters,Tokyo,N/A,N/A,0,N/A,1,Product Manager,05/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A,9.92
42,Fort Valley State College,2.86,Bachelors,Long Beach,F,0,0,1,1,Researcher,11/20,06/21,N/A,N/A,N/A,N/A,N/A,N/A,4.18
43,University of Pennsylvania,2.28,Phd,Baltimore,N/A,0,1,1,1,Product Manager,06/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A,6.72
44,The Illinois Institute of Art-Chicago,3.33,Bachelors,Riverside,F,1,0,N/A,4,Product Manager,08/19,08/20,N/A,N/A,N/A,N/A,N/A,N/A,8.39
45,Johns Hopkins University,2.43,Masters,Detroit,F,1,1,1,2,Data Scientist,08/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A,5.75
46,Mount Vernon College,2.2,Phd,Long Beach,M,N/A,1,0,1,Firefighter,09/15,06/17,N/A,N/A,N/A,N/A,N/A,N/A,9.44
47,Vassar College,3.72,Bachelors,Glendale,N/A,N/A,0,1,3,Product Designer,12/17,04/19,N/A,N/A,N/A,N/A,N/A,N/A,3.39
48,Brenau University,2.92,Bachelors,Milwaukee,F,0,0,0,1,Multimedia Artist,01/20,02/21,N/A,N/A,N/A,N/A,N/A,N/A,5.07
49,Morris College,3.5,Bachelors,Indianapolis,M,0,1,1,4,Business Analyst,11/21,06/22,N/A,N/A,N/A,N/A,N/A,N/A,8.72
50,ITT Technical Institute Portland,2.58,Bachelors,Tulsa,N/A,0,1,0,0,Pilot,03/16,10/17,N/A,N/A,N/A,N/A,N/A,N/A,6.13
51,Morris College,3.57,Bachelors,Houston,N/A,N/A,1,0,0,Investment Banker,10/15,01/16,N/A,N/A,N/A,N/A,N/A,N/A,1.73
52,Goshen College,2.22,Phd,Virginia Beach,F,1,0,N/A,2,Data Scientist,04/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A,3.57
53,Widener University,2.71,Bachelors,Miami,N/A,N/A,0,1,0,Investment Banker,08/21,08/23,N/A,N/A,N/A,N/A,N/A,N/A,6.3
54,University of Charleston South Carolina,3.96,Phd,Houston,M,1,1,1,1,Sales Representative,09/19,06/20,N/A,N/A,N/A,N/A,N/A,N/A,1.87
55,Schiller International University,3.59,Bachelors,Buffalo,M,N/A,0,1,4,Pharmacist,03/16,01/18,N/A,N/A,N/A,N/A,N/A,N/A,9.33
56,Manchester College,2.99,Masters,Laredo,N/A,N/A,0,0,2,Dietitian,08/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,0.76
57,Towson University,2.68,Masters,Mesa,M,1,0,N/A,1,Sales Representative,03/16,03/18,N/A,N/A,N/A,N/A,N/A,N/A,9.76
58,Pennsylvania State University - Milton S.Hershey Medical Center,3.74,Bachelors,San Francisco,N/A,N/A,1,1,0,Dietitian,07/15,03/16,N/A,N/A,N/A,N/A,N/A,N/A,1.82
59,The School of the Art Institute of Chicago,3.09,Masters,Atlanta,M,N/A,1,N/A,3,Sales Representative,05/17,12/17,N/A,N/A,N/A,N/A,N/A,N/A,4.87
60,Wayne State College,3.52,Phd,Santa Ana,N/A,0,0,N/A,1,Sales Representative,12/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,0.9
61,Illinois College,3.51,Bachelors,Chula Vista,N/A,1,0,0,3,Researcher,11/19,02/20,N/A,N/A,N/A,N/A,N/A,N/A,0.14
62,Alderson Broaddus College,2.04,Phd,Jersey City,N/A,1,1,1,3,Business Analyst,12/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,4.64
63,Marian College of Fond Du Lac,2.25,Bachelors,Greensboro,M,0,0,N/A,2,Sales Representative,05/14,07/14,N/A,N/A,N/A,N/A,N/A,N/A,9.25
64,Blackburn College,3.32,Masters,Baltimore,N/A,1,1,1,4,Pilot,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A,3.08
65,Sinte Gleska University,2.32,Phd,Portland,N/A,0,1,1,0,Software Engineer,02/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A,8.92
66,Dallas Christian College,2.51,Masters,Richmond,F,1,1,1,0,Firefighter,02/18,09/19,N/A,N/A,N/A,N/A,N/A,N/A,8.35
67,Hartford College for Women,3.89,Masters,San Diego,F,1,1,N/A,1,Human Resources Specialist,11/21,06/23,N/A,N/A,N/A,N/A,N/A,N/A,3.74
68,Coker College,3.12,Bachelors,Virginia Beach,N/A,1,1,0,0,Dietitian,02/14,04/14,N/A,N/A,N/A,N/A,N/A,N/A,0.3
69,Albany Law School,3.5,Phd,Garland,F,1,1,0,2,Sales Representative,03/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A,9.87
70,Campbell University,3.12,Masters,Virginia Beach,N/A,0,1,N/A,0,Sales Representative,07/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A,3.64
71,Letourneau University,3.11,Bachelors,Cleveland,F,0,0,1,1,Social Media Coordinator,06/20,10/20,N/A,N/A,N/A,N/A,N/A,N/A,2.66
72,State University of New York at New Paltz,2.19,Bachelors,Los Angeles,M,1,1,1,0,Sales Representative,02/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A,2.97
73,Governors State University,2.69,Bachelors,Baltimore,M,N/A,0,0,4,Financial Analyst,09/15,03/16,N/A,N/A,N/A,N/A,N/A,N/A,9.11
74,Miami University of Ohio,2.56,Masters,Phoenix,N/A,0,0,N/A,3,Public Relations Officer,08/18,07/20,N/A,N/A,N/A,N/A,N/A,N/A,2.93
75,Stanford University,2.78,Bachelors,Philadelphia,N/A,1,0,N/A,3,Machine Learning Engineer,02/17,05/18,N/A,N/A,N/A,N/A,N/A,N/A,6.36
76,Auburn University at Montgomery,3.6,Phd,Denver,M,0,1,0,3,Financial Analyst,10/16,09/18,N/A,N/A,N/A,N/A,N/A,N/A,0.21
77,State University of New York Maritime College,2.74,Phd,Colorado Springs,M,N/A,0,N/A,4,Product Manager,10/21,03/22,N/A,N/A,N/A,N/A,N/A,N/A,5.54
78,Morningside College,2.9,Masters,Indianapolis,F,N/A,1,N/A,2,Data Analyst,12/15,04/17,N/A,N/A,N/A,N/A,N/A,N/A,4.5
79,Texas Tech University Health Science Center,2.79,Phd,Santa Ana,N/A,N/A,1,0,1,Human Resources Specialist,08/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,5.95
80,Swarthmore College,2.19,Bachelors,Norfolk,M,1,0,0,4,Sales Representative,11/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A,4.28
81,Fort Hays State University,2.88,Masters,Glendale,M,1,0,N/A,1,Firefighter,03/20,08/21,N/A,N/A,N/A,N/A,N/A,N/A,2.0
82,Lesley University,2.39,Bachelors,San Francisco,N/A,N/A,0,N/A,2,Pilot,10/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,6.61
83,Pontificia Universidade Católica do Paraná,2.37,Masters,San Bernardino,F,0,0,0,4,Product Designer,11/18,06/20,N/A,N/A,N/A,N/A,N/A,N/A,4.81
84,American Conservatory Theater,2.19,Masters,Arlington,F,0,1,0,0,Public Relations Officer,09/21,08/23,N/A,N/A,N/A,N/A,N/A,N/A,6.97
