Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Providence College,3.28,Phd,Providence,M,0,0,0,4,Data Scientist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A
2,Providence College,3.52,Phd,Providence,M,0,0,0,4,Data Scientist,12/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A
3,Providence College,3.45,Masters,Providence,N/A,1,0,1,4,Data Scientist,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A
4,Providence College,3.27,Phd,Providence,F,N/A,0,1,4,Data Scientist,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A
5,Providence College,3.96,Phd,Providence,M,0,0,1,1,Data Scientist,07/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A
6,Providence College,3.81,Phd,Providence,N/A,1,1,0,0,Data Scientist,04/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A
7,Providence College,3.29,Masters,Providence,F,1,0,0,0,Data Scientist,04/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A
8,Providence College,3.39,Bachelors,Providence,M,0,0,0,2,Data Scientist,08/19,01/21,N/A,N/A,N/A,N/A,N/A,N/A
9,Providence College,2.1,Bachelors,Providence,F,0,1,1,1,Data Scientist,06/17,01/19,N/A,N/A,N/A,N/A,N/A,N/A
10,Providence College,3.34,Masters,Providence,F,N/A,0,0,4,Data Scientist,08/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A
11,Providence College,2.09,Bachelors,Providence,M,N/A,0,1,0,Data Scientist,08/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A
12,Providence College,3.18,Phd,Providence,M,0,0,1,3,Data Scientist,12/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A
13,Providence College,4.0,Bachelors,Providence,M,N/A,1,1,3,Data Scientist,02/21,08/21,N/A,N/A,N/A,N/A,N/A,N/A
14,Providence College,3.11,Phd,Providence,F,1,0,0,3,Data Scientist,05/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A
15,Providence College,2.95,Bachelors,Providence,F,N/A,1,0,4,Data Scientist,12/16,09/17,N/A,N/A,N/A,N/A,N/A,N/A
16,Providence College,2.63,Masters,Providence,N/A,N/A,1,0,4,Data Scientist,03/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A
17,Providence College,2.24,Bachelors,Providence,F,1,0,1,2,Data Scientist,03/17,09/18,N/A,N/A,N/A,N/A,N/A,N/A
18,Providence College,3.46,Bachelors,Providence,M,N/A,1,0,2,Data Scientist,01/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A
19,Providence College,2.39,Bachelors,Providence,F,1,0,0,2,Data Scientist,12/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A
