Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Pacific Lutheran University,3.28,Phd,Denver,M,0,0,0,4,Human Resources Specialist,05/16,04/17,N/A,N/A,N/A,N/A,N/A,N/A,8.21
2,Temple University School of Podiatric Medicine,3.52,Phd,Garland,M,0,0,0,4,Accountant,12/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A,8.54
3,Marywood University,3.45,Masters,Stockton,N/A,1,0,1,4,Firefighter,12/21,12/23,N/A,N/A,N/A,N/A,N/A,N/A,6.52
4,Simon's Rock College,3.27,Phd,Los Angeles,F,N/A,0,1,4,Financial Analyst,08/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,4.56
5,Pacific University,3.96,Phd,Indianapolis,M,0,0,1,1,Public Relations Officer,07/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A,9.65
6,Oklahoma Christian University,3.81,Phd,New Orleans,N/A,1,1,0,0,Public Relations Officer,04/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A,4.17
7,University of South Carolina,3.29,Masters,Scottsdale,F,1,0,0,0,Firefighter,04/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,7.16
8,Northern Michigan University,3.39,Bachelors,North Las Vegas,M,0,0,0,2,Dietitian,08/19,01/21,N/A,N/A,N/A,N/A,N/A,N/A,8.82
9,University of Maryland at Baltimore,2.1,Bachelors,Lincoln,F,0,1,1,1,Product Designer,06/17,01/19,N/A,N/A,N/A,N/A,N/A,N/A,6.86
10,Barat College,3.34,Masters,Nashville,F,N/A,0,0,4,Product Manager,08/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A,4.39
11,Emmanuel College Georgia,2.09,Bachelors,San Diego,M,N/A,0,1,0,Researcher,08/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A,6.89
12,Rush University,3.18,Phd,Washington,M,0,0,1,3,Pilot,12/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A,2.23
13,College of New Rochelle,4.0,Bachelors,Winston–Salem,M,N/A,1,1,3,Investment Banker,02/21,08/21,N/A,N/A,N/A,N/A,N/A,N/A,3.02
14,The Art Institute of Boston,3.11,Phd,Stockton,F,1,0,0,3,Multimedia Artist,05/20,04/21,N/A,N/A,N/A,N/A,N/A,N/A,6.03
15,Atlantic International University,2.95,Bachelors,Wichita,F,N/A,1,0,4,Product Designer,12/16,09/17,N/A,N/A,N/A,N/A,N/A,N/A,6.94
16,St. Bernard's Institute,2.63,Masters,Philadelphia,N/A,N/A,1,0,4,Pharmacist,03/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A,1.7
17,Pacifica Graduate Institute,2.24,Bachelors,Greensboro,F,1,0,1,2,Accountant,03/17,09/18,N/A,N/A,N/A,N/A,N/A,N/A,1.49
18,McMurry University,3.46,Bachelors,Hialeah,M,N/A,1,0,2,Public Relations Officer,01/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A,6.98
19,University of North Carolina at Charlotte,2.39,Bachelors,Virginia Beach,F,1,0,0,2,Product Manager,12/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A,6.68
20,Bastyr University,2.23,Masters,Honolulu,N/A,N/A,0,1,3,Dietitian,03/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A,2.64
21,University of North Carolina at Asheville,2.84,Bachelors,Lincoln,N/A,0,0,1,4,Pilot,10/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A,5.81
22,Southern Utah University,3.59,Masters,Las Vegas,M,N/A,0,0,3,Pharmacist,05/16,08/17,N/A,N/A,N/A,N/A,N/A,N/A,2.42
23,Lees-McRae College,3.49,Phd,Charlotte,M,0,0,1,2,Sales Representative,05/16,03/17,N/A,N/A,N/A,N/A,N/A,N/A,2.5
24,College of the Ozarks,2.11,Bachelors,Wichita,N/A,0,1,0,4,Public Relations Officer,06/15,09/15,N/A,N/A,N/A,N/A,N/A,N/A,7.82
25,Thomas Aquinas College,2.91,Masters,Lubbock,N/A,0,1,1,1,Investment Banker,12/18,09/20,N/A,N/A,N/A,N/A,N/A,N/A,0.48
26,St. Olaf College,3.04,Masters,Chula Vista,N/A,0,1,1,0,Social Media Coordinator,02/21,11/22,N/A,N/A,N/A,N/A,N/A,N/A,8.81
27,Louisiana State University at Eunice,3.29,Bachelors,Corpus Christi,M,0,1,0,0,Pharmacist,09/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A,1.33
28,Dakota Wesleyan University,3.3,Phd,Irving,N/A,1,0,1,2,Multimedia Artist,11/18,09/19,N/A,N/A,N/A,N/A,N/A,N/A,5.82
29,Rider University,2.73,Masters,St. Petersburg,N/A,1,0,1,3,Software Engineer,10/15,10/16,N/A,N/A,N/A,N/A,N/A,N/A,2.06
30,Morningside College,3.12,Bachelors,Baton Rouge,M,1,1,1,1,Product Designer,10/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A,5.19
31,Chaminade University of Honolulu,2.96,Phd,Honolulu,F,0,0,0,4,Product Manager,06/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,0.96
32,Princeton University,3.77,Masters,Wichita,F,N/A,1,1,3,Pilot,02/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A,4.45
33,Elmhurst College,3.06,Masters,El Paso,N/A,1,1,1,2,Human Resources Specialist,06/18,05/20,N/A,N/A,N/A,N/A,N/A,N/A,9.71
34,Southwest Baptist University,2.88,Phd,San Bernardino,F,N/A,1,0,3,Accountant,11/15,05/16,N/A,N/A,N/A,N/A,N/A,N/A,1.56
35,Alfred Adler Graduate School,2.81,Phd,Oklahoma City,F,N/A,1,0,2,Software Engineer,10/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,8.5
36,Carroll College Helena,3.14,Bachelors,El Paso,F,0,0,1,0,Multimedia Artist,12/16,12/18,N/A,N/A,N/A,N/A,N/A,N/A,5.78
37,Lagrange College,3.61,Bachelors,Chula Vista,F,0,0,1,0,Pilot,12/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A,0.99
38,Marymount University,3.08,Masters,Houston,N/A,0,1,1,3,Researcher,07/14,03/15,N/A,N/A,N/A,N/A,N/A,N/A,3.0
39,University of Central Arkansas,3.32,Phd,Henderson,F,1,1,0,1,Firefighter,04/19,11/20,N/A,N/A,N/A,N/A,N/A,N/A,1.45
40,Evangel University,3.48,Phd,Durham,F,0,1,1,4,Social Media Coordinator,11/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,7.99
